常用国家/地区

瓜德罗普岛,Guadeloupe,590
圣马丁岛,Sint Maarten(Dutch),590
玻利维亚,Bolivia,591
圭亚那,Guyana,592
厄瓜多尔,Ecuador,593
法属圭亚那,French Guiana,594
巴拉圭,Paraguay,595
马提尼克,Martinique,596
苏里南,Suriname,597
乌拉圭,Uruguay,598
博内尔岛和圣尤斯特歇斯,Bonaire Sint Eustat,599
库拉索 ,Curacao,599
东帝汶,Timor ,670
文莱,Brunei Darussalam,673
巴布亚新几内亚,Papua New Guinea,675
东加,Tonga,676
所罗门群岛,Solomon Islands,677
瓦努阿图,Vanuatu,678
斐济,Fiji,679
帕劳,Palau,680
库克群岛,Cook Islands,682
萨摩亚,Samoa,685
基里巴斯,Kiribati,686
新喀里多尼亚 ,New Caledonia,687
法属波利尼西亚,French Polynesia,689
中国香港,Hong Kong,852
中国澳门,Macao,853
柬埔寨,Cambodia,855
老挝,Lao People's Democratic Republic,856
孟加拉国,Bangladesh,880
中国台湾,Taiwan,886
巴勒斯坦,Palestine,930
马尔代夫,Maldives,960
黎巴嫩,Lebanon,961
约旦,Jordan,962
叙利亚,Syrian Arab Republic,963
伊拉克,Iraq,964
科威特,Kuwait,965
沙特阿拉伯,Saudi Arabia,966
也门,Yemen,967
阿曼,Oman,968
阿拉伯联合酋长国,United Arab Emirates,971
以色列,Israel,972
巴林,Bahrain,973
卡达,Qatar,974
不丹,Bhutan,975
蒙古国,Mongolia,976
尼泊尔,Nepal,977
塔吉克,Tajikistan,992
土库曼,Turkmenistan,993
阿塞拜疆,Azerbaijan,994
乔治亚,Georgia,995
吉尔吉斯,Kyrgyzstan,996
乌兹别克,Uzbekistan,998
巴哈马,Bahamas,1242
巴巴多斯,Barbados,1246
安圭拉,Anguilla,1264
安提瓜和巴布达,Antigua and Barbuda,1268
英属维尔京群岛,Virgin Islands,1284
美属维尔京群岛,United States Virgin Islands,1340
开曼群岛,Cayman Islands,1345
百慕大,Bermuda,1441
格林纳达,Grenada,1473
土克凯可群岛,Turks and Caicos Islands,1649
蒙塞拉特岛,Montserrat,1664
关岛,Guam,1671
美属萨摩亚,American Samoa,1684
圣卢西亚,Saint Lucia,1758
多米尼克,Dominica,1767
圣文森及格林纳丁,Saint Vincent and the Grenadines,1784
波多黎各,Puerto Rico,1787
多米尼加共和国,Dominican Republic,1809
特立尼达和多巴哥,Trinidad and Tobago,1868
圣克里斯多福与尼维斯,Saint Kitts and Nevis,1869
牙买加,Jamaica,1876
